goal_id,goal_name,focus_muscles,target_attributes,description,focus_muscles_list,target_attributes_list,m_arm,m_arms,m_back,m_chest,m_core,m_full body,m_glutes,m_grip,m_hamstrings,m_hips,m_legs,m_lower back,m_shoulders,a_agility,a_balance,a_cardiovascular,a_control,a_coordination,a_endurance,a_explosiveness,a_power,a_speed,a_stability,a_stamina,a_strength,features_text
1,scrum power,"legs, core, shoulders","strength, power, stability","improves pushing force, body stability, and lower body drive for stronger scrum performance","['legs', 'core', 'shoulders']","['strength', 'power', 'stability']",0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,"legs, core, shoulders strength, power, stability improves pushing force, body stability, and lower body drive for stronger scrum performance"
2,tackling power,"legs, shoulders, core","strength, explosiveness, power","enhances total body power, shoulder drive, and core control for dominant tackles","['legs', 'shoulders', 'core']","['strength', 'explosiveness', 'power']",0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,"legs, shoulders, core strength, explosiveness, power enhances total body power, shoulder drive, and core control for dominant tackles"
3,sprint speed,"legs, core","explosiveness, speed, power",boosts acceleration and sprinting ability for faster offensive and defensive plays,"['legs', 'core']","['explosiveness', 'speed', 'power']",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,"legs, core explosiveness, speed, power boosts acceleration and sprinting ability for faster offensive and defensive plays"
4,agility footwork,"legs, core","agility, coordination, speed","improves lateral movement, quickness, and reaction time for evasive maneuvers","['legs', 'core']","['agility', 'coordination', 'speed']",0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,"legs, core agility, coordination, speed improves lateral movement, quickness, and reaction time for evasive maneuvers"
5,endurance conditioning,full body,"endurance, stamina, cardiovascular",increases ability to sustain high performance throughout the game,['full body'],"['endurance', 'stamina', 'cardiovascular']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,"full body endurance, stamina, cardiovascular increases ability to sustain high performance throughout the game"
6,core stability,"core, lower back","stability, balance, strength",improves body control and posture under pressure during scrums and tackles,"['core', 'lower back']","['stability', 'balance', 'strength']",0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,"core, lower back stability, balance, strength improves body control and posture under pressure during scrums and tackles"
7,upper body strength,"chest, shoulders, arms","strength, power, stability","develops pushing and grappling strength used in mauls, tackles, and hand offs","['chest', 'shoulders', 'arms']","['strength', 'power', 'stability']",0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,"chest, shoulders, arms strength, power, stability develops pushing and grappling strength used in mauls, tackles, and hand offs"
8,lower body strength,"legs, glutes","strength, power, stability","enhances leg drive, acceleration, and ground control essential for rugby performance","['legs', 'glutes']","['strength', 'power', 'stability']",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,"legs, glutes strength, power, stability enhances leg drive, acceleration, and ground control essential for rugby performance"
9,explosive power,"legs, core, shoulders","explosiveness, strength, coordination","increases fast twitch muscle activation for tackles, sprints, and jumps","['legs', 'core', 'shoulders']","['explosiveness', 'strength', 'coordination']",0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,"legs, core, shoulders explosiveness, strength, coordination increases fast twitch muscle activation for tackles, sprints, and jumps"
10,speed acceleration,"legs, core","speed, power, agility",optimizes quick burst performance and top running speed in open play,"['legs', 'core']","['speed', 'power', 'agility']",0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,"legs, core speed, power, agility optimizes quick burst performance and top running speed in open play"
11,passing accuracy,"core, shoulders, arms","coordination, stability, control",improves control and precision during dynamic passing situations,"['core', 'shoulders', 'arms']","['coordination', 'stability', 'control']",0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,"core, shoulders, arms coordination, stability, control improves control and precision during dynamic passing situations"
12,defensive strength,"shoulders, core, back","strength, stability, power",enhances tackling resilience and ability to absorb and deliver contact effectively,"['shoulders', 'core', 'back']","['strength', 'stability', 'power']",0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,"shoulders, core, back strength, stability, power enhances tackling resilience and ability to absorb and deliver contact effectively"
